season,game_type,week,away_team,away_score,home_team,home_score,result,total,overtime,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,home_team_win,home_win_pct,home_ppg,home_opp_ppg,home_third_down_pct,home_third_down_stop_pct,home_sacks_per_game,home_turnover_diff,away_win_pct,away_ppg,away_opp_ppg,away_third_down_pct,away_third_down_stop_pct,away_sacks_per_game,away_turnover_diff
2025,REG,1,DAL,20,PHI,24,4,44,0,330,-425,8.5,-110,-110,47.5,-110,-110,1,,,,,,,,,,,,,,
2025,REG,1,TB,23,ATL,20,-3,43,0,-115,-105,-1.5,-102,-118,47.5,-105,-115,0,,,,,,,,,,,,,,
2025,REG,1,CIN,17,CLE,16,-1,33,0,-238,195,-5.5,-105,-115,47.5,100,-120,0,,,,,,,,,,,,,,
2025,REG,1,MIA,8,IND,33,25,41,0,-108,-112,1.5,-118,-102,47.5,-120,100,1,,,,,,,,,,,,,,
2025,REG,1,CAR,10,JAX,26,16,36,0,170,-205,4.5,-110,-110,45.5,-108,-112,1,,,,,,,,,,,,,,
2025,REG,1,LV,20,NE,13,-7,33,0,130,-155,2.5,100,-120,44.5,-115,-105,0,,,,,,,,,,,,,,
2025,REG,1,ARI,20,NO,13,-7,33,0,-270,220,-6.0,-108,-112,44.5,-112,-108,0,,,,,,,,,,,,,,
2025,REG,1,PIT,34,NYJ,32,-2,66,0,-155,130,-3.0,-110,-110,37.5,-108,-112,0,,,,,,,,,,,,,,
2025,REG,1,NYG,6,WAS,21,15,27,0,240,-298,6.0,-108,-112,45.5,-110,-110,1,,,,,,,,,,,,,,
2025,REG,1,TEN,12,DEN,20,8,32,0,350,-455,8.5,-105,-115,42.5,-108,-112,1,,,,,,,,,,,,,,
2025,REG,1,SF,17,SEA,13,-4,30,0,-135,114,-2.5,-105,-115,43.5,-112,-108,0,,,,,,,,,,,,,,
2025,REG,1,DET,13,GB,27,14,40,0,100,-120,1.5,-115,-105,48.5,-115,-105,1,,,,,,,,,,,,,,
2025,REG,1,HOU,9,LA,14,5,23,0,140,-166,3.5,-118,-102,43.5,-115,-105,1,,,,,,,,,,,,,,
2025,REG,1,BAL,40,BUF,41,1,81,0,-130,110,-1.5,-118,-102,50.5,-105,-115,1,,,,,,,,,,,,,,
2025,REG,1,MIN,27,CHI,24,-3,51,0,-112,-108,-1.5,100,-120,43.5,-112,-108,0,,,,,,,,,,,,,,
2025,REG,1,KC,21,LAC,27,6,48,0,-175,145,-3.0,-120,100,47.5,-110,-110,1,,,,,,,,,,,,,,
2025,REG,2,TB,20,HOU,19,-1,39,0,114,-135,2.5,-110,-110,42.5,-110,-110,0,0.0,9.0,14.0,0.18181818181818182,0.5333333333333333,3.0,-1.0,1.0,23.0,20.0,0.5,0.625,1.0,0.0
2025,REG,2,SF,26,NO,21,-5,47,0,-166,140,-3.0,-110,-110,40.5,-105,-115,0,0.0,13.0,20.0,0.2777777777777778,0.6,5.0,0.0,1.0,17.0,13.0,0.4375,0.7272727272727273,1.0,0.0
2025,REG,2,JAX,27,CIN,31,4,58,0,160,-192,3.5,-115,-105,49.5,-115,-105,1,1.0,17.0,16.0,0.5,0.5263157894736843,2.0,2.0,1.0,26.0,10.0,0.4166666666666667,0.5,1.0,2.0
2025,REG,2,NYG,37,DAL,40,3,77,1,195,-238,4.5,100,-120,44.5,-110,-110,1,0.0,20.0,24.0,0.5833333333333334,0.3846153846153846,1.0,-1.0,0.0,6.0,21.0,0.21052631578947367,0.6666666666666667,3.0,0.0
2025,REG,2,CHI,21,DET,52,31,73,0,220,-270,6.0,-110,-110,46.5,-112,-108,1,0.0,13.0,27.0,0.3333333333333333,0.6363636363636364,0.0,-1.0,0.0,24.0,27.0,0.21428571428571427,0.8,3.0,0.0
2025,REG,2,NE,33,MIA,27,-6,60,0,105,-125,1.5,-110,-110,43.5,-115,-105,0,0.0,8.0,33.0,0.5,0.5333333333333333,1.0,-3.0,0.0,13.0,20.0,0.25,0.6428571428571428,4.0,0.0
2025,REG,2,BUF,30,NYJ,10,-20,40,0,-290,235,-6.0,-112,-108,47.5,-110,-110,0,0.0,32.0,34.0,0.5,0.6666666666666667,4.0,-1.0,1.0,41.0,40.0,0.3888888888888889,0.5384615384615384,2.0,1.0
2025,REG,2,SEA,31,PIT,17,-14,48,0,160,-192,3.5,-110,-110,40.5,-108,-112,0,1.0,34.0,32.0,0.3333333333333333,0.5,1.0,1.0,0.0,13.0,17.0,0.2727272727272727,0.5625,1.0,0.0
2025,REG,2,LA,33,TEN,19,-14,52,0,-250,205,-5.5,-108,-112,41.5,-112,-108,0,0.0,12.0,20.0,0.14285714285714285,0.6470588235294117,1.0,0.0,1.0,14.0,9.0,0.4666666666666667,0.8181818181818181,3.0,1.0
2025,REG,2,CAR,22,ARI,27,5,49,0,250,-310,7.0,-110,-110,45.5,-110,-110,1,1.0,20.0,13.0,0.4,0.7222222222222222,1.0,0.0,0.0,10.0,26.0,0.5,0.5833333333333333,0.0,-2.0
2025,REG,2,DEN,28,IND,29,1,57,0,-130,110,-2.5,-105,-115,43.5,-112,-108,1,1.0,33.0,8.0,0.4666666666666667,0.5,3.0,3.0,1.0,20.0,12.0,0.35294117647058826,0.8571428571428572,6.0,0.0
2025,REG,2,PHI,20,KC,17,-3,37,0,-122,102,-1.5,-110,-110,46.5,-102,-118,0,0.0,21.0,27.0,0.3125,0.5,3.0,0.0,1.0,24.0,20.0,0.6153846153846154,0.41666666666666663,0.0,1.0
2025,REG,2,ATL,22,MIN,6,-16,28,0,150,-180,3.5,-115,-105,44.5,-110,-110,0,1.0,27.0,24.0,0.2,0.7857142857142857,2.0,0.0,0.0,20.0,23.0,0.375,0.5,1.0,0.0
2025,REG,2,LAC,20,LV,9,-11,29,0,-198,164,-3.5,-105,-115,46.5,-102,-118,0,1.0,20.0,13.0,0.35714285714285715,0.75,4.0,0.0,1.0,27.0,21.0,0.5,0.6875,2.0,0.0
2025,REG,2,CLE,17,BAL,41,24,58,0,600,-900,12.5,-105,-115,46.5,-110,-110,1,0.0,40.0,41.0,0.46153846153846156,0.6111111111111112,1.0,-1.0,0.0,16.0,17.0,0.47368421052631576,0.5,3.0,-2.0
2025,REG,2,WAS,18,GB,27,9,45,0,154,-185,3.5,-118,-102,48.5,-105,-115,1,1.0,27.0,13.0,0.36363636363636365,0.6666666666666667,4.0,1.0,1.0,21.0,6.0,0.3333333333333333,0.7894736842105263,2.0,0.0
2025,REG,3,DAL,14,CHI,31,17,45,0,-125,105,-1.5,-115,-105,49.5,100,-120,1,0.0,22.5,39.5,0.35714285714285715,0.7,1.5,-1.0,0.5,30.0,30.5,0.4681372549019608,0.4923076923076923,2.0,-0.5
2025,REG,3,ARI,15,SF,16,1,31,0,105,-125,1.5,-112,-108,44.5,-112,-108,1,1.0,21.5,17.0,0.4409722222222222,0.7097902097902098,2.0,0.0,1.0,23.5,17.5,0.33636363636363636,0.7295321637426901,2.0,0.5
2025,REG,3,KC,22,NYG,9,-13,31,0,-325,260,-6.0,-115,-105,44.5,-105,-115,0,0.0,21.5,30.5,0.30526315789473685,0.6568627450980392,3.0,0.0,0.0,19.0,23.5,0.2895833333333333,0.59375,2.5,-0.5
