team,season,week,win_pct,ppg,opp_ppg
CAR,2025,18,0.5,18.5625,22.75
NYG,2025,18,0.1875,21.6875,26.375
SF,2025,18,0.75,27.125,22.375
NYJ,2025,18,0.1875,18.25,29.25
LAC,2025,18,0.6875,22.8125,20.0625
DET,2025,18,0.5,28.875,24.8125
DAL,2025,18,0.4375,28.375,29.8125
LA,2025,18,0.6875,30.0625,20.375
DEN,2025,18,0.8125,23.875,19.25
KC,2025,18,0.375,21.875,19.625
MIN,2025,18,0.5,20.5,20.625
CLE,2025,18,0.25,16.1875,22.5625
BAL,2025,18,0.5,25.0,23.25
GB,2025,18,0.625,24.25,21.5
BUF,2025,18,0.6875,27.875,22.3125
ATL,2025,18,0.4375,20.875,24.0
ARI,2025,18,0.1875,20.9375,28.1875
CIN,2025,18,0.375,24.75,29.5
SEA,2025,18,0.8125,29.375,18.0625
LV,2025,18,0.125,14.1875,26.25
IND,2025,18,0.5,27.25,23.375
WAS,2025,18,0.25,20.75,27.125
NO,2025,18,0.375,18.0625,22.75
PHI,2025,18,0.6875,22.625,18.8125
HOU,2025,18,0.6875,22.875,16.5625
MIA,2025,18,0.4375,21.0625,24.125
NE,2025,18,0.8125,28.25,19.375
PIT,2025,18,0.5625,23.1875,22.6875
JAX,2025,18,0.75,27.0625,20.5625
TEN,2025,18,0.1875,17.3125,27.3125
CHI,2025,18,0.6875,26.5625,24.75
TB,2025,18,0.4375,22.75,24.8125
